Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 16 Oct 2020 17:10:00 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1935-0008-CUB,1935,0008,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Cuba,CUB,Caribbean,Americas,,,,,,,,,,Kph,,,,,1935,9,28,1935,9,28,35,500,,,500,,,,"5,3747690443"
1935-0012-HTI,1935,0012,Natural,Meteorological,Storm,Tropical cyclone,,Jeremie & Jacmel,Kill,Haiti,HTI,Caribbean,Americas,,,,,,,,,,Kph,,,,,1935,10,21,1935,10,21,2150,,,,,,,,"5,3747690443"
1936-0006-CAN,1936,0006,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Canada,CAN,Northern America,Americas,Nationwide (except Yukon and Nothwest territories),,,,,,,,,°C,,,,,1936,7,6,1936,7,6,500,,,,,,,,"5,439996824"
1939-0001-CHL,1939,0001,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Chile,CHL,South America,Americas,Chillan region (Concepcion),,Tsunami/Tidal wave,,,,,,8,Richter,-36.305,-72.315,23:32,,1939,1,24,1939,1,24,30000,58500,,,58500,,,920000,"5,4530423799"
1942-0001-ECU,1942,0001,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Ecuador,ECU,South America,Americas,Guayaquavil,,,,,,,,,Richter,-0.025,-79.955,21:13,,1942,5,13,1942,5,13,200,,,,,,,2500,"6,405367963"
1943-0010-CHL,1943,0010,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Chile,CHL,South America,Americas,Illapel,,Tsunami/Tidal wave,,,,,,8,Richter,-31.432,-71.475,12:07,,1943,4,6,1943,4,6,12,35,,,35,,,100000,"6,783689085"
1944-0011-CUB,1944,0011,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Cuba,CUB,Caribbean,Americas,"Isle of Pines, La Havana",,Surge,,,No,No,,262,Kph,,,,,1944,10,18,1944,10,18,,,,,,,,,"6,9010990884"
1944-0002-ARG,1944,0002,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Argentina,ARG,South America,Americas,San Juan,,,,,,,,7,Richter,-31.372,68.436,20:49,,1944,1,15,1944,1,15,10000,35000,120000,,155000,,,100000,"6,9010990884"
1945-0004-BHS,1945,0004,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Bahamas (the),BHS,Caribbean,Americas,,,,,,,,,,Kph,,,,,1945,9,14,1945,9,14,22,,,,,,,,"7,0576457596"
1946-0013-CHL,1946,0013,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Chile,CHL,South America,Americas,Northern,,Tsunami/Tidal wave,,,,,,8,Richter,-26.5,-70.5,15:18,,1946,8,2,1946,8,2,2,,,,,,,,"7,6446957766"
1946-0021-DOM,1946,0021,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Dominican Republic (the),DOM,Caribbean,Americas,Northeasetrn coast,,Tsunami/Tidal wave,,,,,,8,Richter,19.25,-69,13:51,,1946,8,4,1946,8,4,73,,,,,,,,"7,6446957766"
1946-0018-CAN,1946,0018,Natural,Meteorological,Storm,,,,Kill,Canada,CAN,Northern America,Americas,"Windsor, Ontario",,,,,,,,,Kph,,,,,1946,6,17,1946,6,17,17,,,,,,,500,"7,6446957766"
1948-0013-BMU,1948,0013,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Bermuda,BMU,Northern America,Americas,,,,,,,,,,Kph,,,,,1948,10,12,1948,10,12,,,,,,,,,"9,4188913835"
1948-0027-BRA,1948,0027,Natural,Hydrological,Flood,,,,Kill,Brazil,BRA,South America,Americas,,,,,,,,,,Km2,,,,,1948,12,,1948,12,,200,,,,,,,,"9,4188913835"
1948-0025-CHL,1948,0025,Natural,Geophysical,Volcanic activity,Ash fall,,,Kill,Chile,CHL,South America,Americas,,,,,,,,,,,,,,,1948,10,,1948,10,,100,,,,,,,,"9,4188913835"
1948-0009-CUB,1948,0009,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Cuba,CUB,Caribbean,Americas,,,,,,,,,,Kph,,,,,1948,9,21,1948,9,21,3,,,,,,,12000,"9,4188913835"
1948-0012-CUB,1948,0012,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Cuba,CUB,Caribbean,Americas,,,,,,,,,,Kph,,,,,1948,10,5,1948,10,5,11,300,,,300,,,6000,"9,4188913835"
1949-0010-ECU,1949,0010,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Ecuador,ECU,South America,Americas,"Pelileo, Ambato",,"Slide (land, mud, snow, rock)",,,,,,7,Richter,-1.5,-78.2,14:08,,1949,8,5,1949,8,5,6000,,100000,,100000,,,20000,"9,3275724919"
1949-0005-CHL,1949,0005,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Chile,CHL,South America,Americas,"Angol, Traiguan",,Tsunami/Tidal wave,,,,,,7,Richter,-38,-73.5,23:29,,1949,4,19,1949,4,19,35,155,,,155,,,39000,"9,3275724919"
