Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 15 Oct 2020 02:11:23 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1976-0177-AUT,1976,0177,Natural,Meteorological,Storm,,,,Regional,Austria,AUT,Western Europe,Europe,,,,,,,,,,Kph,,,,,1976,1,,1976,1,,,,,,,,,,"22,2596013891"
1976-9162-BEL,1976,9162,Natural,Climatological,Drought,Drought,,,,Belgium,BEL,Western Europe,Europe,,,,,,,,,,Km2,,,,,1976,7,,1976,,,,,,,,,,,"22,2596013891"
1976-0161-BEL,1976,0161,Natural,Meteorological,Storm,,,,Regional,Belgium,BEL,Western Europe,Europe,Ruisbroek,,,,,,,,,Kph,,,,,1976,1,2,1976,1,2,,,,,,,,,"22,2596013891"
1976-0179-CHE,1976,0179,Natural,Meteorological,Storm,,,,Regional,Switzerland,CHE,Western Europe,Europe,,,,,,,,,,Kph,,,,,1976,1,,1976,1,,,,,,,,,,"22,2596013891"
1976-0018-DFR,1976,0018,Natural,Meteorological,Storm,,,Capella,Kill,Germany Fed Rep,DFR,Western Europe,Europe,,,,,,,,,,Kph,,,,,1976,1,2,1976,1,2,82,,,,,,,1300000,"22,2596013891"
1976-0173-DNK,1976,0173,Natural,Meteorological,Storm,,,Capella,Regional,Denmark,DNK,Northern Europe,Europe,,,,,,No,No,,,Kph,,,,,1976,1,2,1976,1,4,,,,,,,,,"22,2596013891"
1976-0178-FRA,1976,0178,Natural,Meteorological,Storm,,,,Regional,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1976,1,,1976,1,,,,,,,,,,"22,2596013891"
1976-0172-GBR,1976,0172,Natural,Meteorological,Storm,,,,Regional,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,,Kph,,,,,1976,1,,1976,1,,,,,,,,,,"22,2596013891"
1977-0048-BGR,1977,0048,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Bulgaria,BGR,Eastern Europe,Europe,"Svishtov, Ruse",,,,,No,No,,6,Richter,45.77 N,26.76 E,,,1977,3,4,1977,3,4,20,165,,,165,,,,"23,7068509965"
1977-0209-CHE,1977,0209,Natural,Hydrological,Flood,,,,Declar,Switzerland,CHE,Western Europe,Europe,Uri canton,,,,,,,,,Km2,,,,,1977,7,,1977,7,,,,,,,,,,"23,7068509965"
1977-0084-FRA,1977,0084,Natural,Hydrological,Flood,Riverine flood,,,Kill,France,FRA,Western Europe,Europe,Gers (South West),Heavy rains,,,,No,No,,,Km2,,,,Lannemazan,1977,7,8,1977,7,8,26,,25000,,25000,,,,"23,7068509965"
1977-0211-GBR,1977,0211,Natural,Hydrological,Flood,Coastal flood,,,OFDA,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,,,,,,,,,,Km2,,,,,1977,11,,1977,11,,6,,,,,,,1000,"23,7068509965"
1977-0129-GRC,1977,0129,Natural,Hydrological,Flood,,,,Kill,Greece,GRC,Southern Europe,Europe,"Piraeus city (Attikis district, Attiki province)",,,,,,,,,Km2,,,,,1977,10,1,1977,11,30,27,,1600,,1600,,,28000,"23,7068509965"
1978-0062-DFR,1978,0062,Natural,Hydrological,Flood,Riverine flood,,,OFDA,Germany Fed Rep,DFR,Western Europe,Europe,South,,,,,,,,,Km2,,,,,1978,5,,1978,5,,2,,,,,,,330000,"25,5159153235"
1978-0077-ESP,1978,0077,Natural,Hydrological,Flood,Riverine flood,,,OFDA,Spain,ESP,Southern Europe,Europe,Northern,,,,,,,,,Km2,,,,,1978,6,,1978,6,,2,,,,,,,25000,"25,5159153235"
