Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Mon, 19 Oct 2020 03:55:24 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1959-0005-NIU,1959,0005,Natural,Meteorological,Storm,Tropical cyclone,,,Affect,Niue,NIU,Polynesia,Oceania,,,,,,,,,,Kph,,,,,1959,2,26,1959,2,26,,,1600,,1600,,,1500,"11,4019798896"
1960-0008-NIU,1960,0008,Natural,Meteorological,Storm,Tropical cyclone,,Corine,Affect,Niue,NIU,Polynesia,Oceania,,,,,,,,,,Kph,,,,,1960,1,18,1960,1,18,,,4000,,4000,,,41,"11,5682160783"
1960-0011-PNG,1960,0011,Natural,Geophysical,Volcanic activity,Ash fall,,Manam,Affect,Papua New Guinea,PNG,Melanesia,Oceania,Manam,,,,,,,,,,-4.08,145.037,,,1960,3,17,1960,3,17,,,2000,,2000,,,,"11,5682160783"
1961-0003-TON,1961,0003,Natural,Meteorological,Storm,Tropical cyclone,,,Affect,Tonga,TON,Polynesia,Oceania,Vava'u Ha'Apai,,,,,,,,,Kph,,,,,1961,3,16,1961,3,16,2,,8000,,8000,,,500,"11,6920750645"
1966-0088-SLB,1966,0088,Natural,Meteorological,Storm,Tropical cyclone,,Angela,Affect,Solomon Islands,SLB,Melanesia,Oceania,"Malaita, Guadalcanal",,,,,,,,,Kph,,,,,1966,11,14,1966,11,14,3,,1000,,1000,,,,"12,6960281686"
1966-0022-TKL,1966,0022,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Tokelau,TKL,Polynesia,Oceania,"Nukunono, Fakaofo",,,,,,,,,Kph,,,,,1966,1,29,1966,1,29,,,,,,,,,"12,6960281686"
1967-0072-SLB,1967,0072,Natural,Meteorological,Storm,Tropical cyclone,,Annie,Kill,Solomon Islands,SLB,Melanesia,Oceania,Western Islands,,,,,,,,,Kph,,,,,1967,11,11,1967,11,11,12,,,,,,,,"13,0480621075"
1968-0026-NCL,1968,0026,Natural,Meteorological,Storm,Tropical cyclone,,Brenda,OFDA,New Caledonia,NCL,Melanesia,Oceania,East Coast,,,,,,,,,Kph,,,,,1968,1,19,1968,1,19,,,,,,,,,"13,605446087"
1968-0030-NIU,1968,0030,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,Niue,NIU,Polynesia,Oceania,,,,,,,,,,Kph,,,,,1968,2,10,1968,2,10,,,,,,,,,"13,605446087"
1968-0099-NZL,1968,0099,Natural,Geophysical,Earthquake,Ground movement,,,Affect,New Zealand,NZL,Australia and New Zealand,Oceania,Inangahua,,,,,,,,7,Richter,-41.659,172.02,05:24,,1968,5,24,1968,5,24,3,14,300,,314,,,2669,"13,605446087"
1968-0133-NZL,1968,0133,Natural,Meteorological,Storm,Tropical cyclone,,Giselle,Affect,New Zealand,NZL,Australia and New Zealand,Oceania,"Gore, Mataura, Wyndahm",,,,,,,,,Kph,,,,,1968,4,14,1968,4,14,50,,1000,,1000,,,,"13,605446087"
1968-0085-SLB,1968,0085,Natural,Meteorological,Storm,Tropical cyclone,,Becky,Affect,Solomon Islands,SLB,Melanesia,Oceania,Central Islands,,,,,,,,,Kph,,,,,1968,12,11,1968,12,11,1,,,200,200,,,,"13,605446087"
1969-0049-NCL,1969,0049,Natural,Meteorological,Storm,Tropical cyclone,,Colleen,OFDA,New Caledonia,NCL,Melanesia,Oceania,Near Ouvea Is.,,,,,,,,,Kph,,,,,1969,2,2,1969,2,2,,,,,,,,3000,"14,3486278167"
1970-0060-PNG,1970,0060,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Papua New Guinea,PNG,Melanesia,Oceania,Madang,,"Slide (land, mud, snow, rock)",,,,,,7,Richter,-4.999,145.396,03:53,,1970,11,1,1970,11,1,15,20,4000,,4020,,,1750,"15,1863354613"
1971-0022-PNG,1971,0022,Natural,Hydrological,Landslide,Landslide,,,Kill,Papua New Guinea,PNG,Melanesia,Oceania,Telefumin,,,,,,,,,,,,,,1971,3,21,1971,3,21,100,,,,,,,,"15,8382546266"
1971-0008-SLB,1971,0008,Natural,Geophysical,Volcanic activity,Ash fall,,Tinakula,Affect,Solomon Islands,SLB,Melanesia,Oceania,Santa Cruz,,,,,,,,,,,,,,1971,,,1971,,,,,6000,,6000,,,,"15,8382546266"
1972-0056-KIR,1972,0056,Natural,Meteorological,Storm,Tropical cyclone,,Bebe,Affect,Kiribati,KIR,Micronesia,Oceania,Tarawa & Funafuti,,,,Yes,,,,,Kph,,,,,1972,10,21,1972,10,21,3,,700,,700,,,,"16,3565247542"
1972-0036-NCL,1972,0036,Natural,Meteorological,Storm,Tropical cyclone,,,OFDA,New Caledonia,NCL,Melanesia,Oceania,"Noumea, Poindimie",,,,,,,,,Kph,,,,,1972,6,2,1972,6,2,3,,,,,,,,"16,3565247542"
1972-0030-PNG,1972,0030,Natural,Meteorological,Storm,Tropical cyclone,,Hannah,OFDA,Papua New Guinea,PNG,Melanesia,Oceania,"New Britain, North province",,,,,,,,,Kph,,,,,1972,5,,1972,5,,,,,,,,,,"16,3565247542"
